,고객ID,Monetary,Recency_R,Frequency_F,Monetary_M,Class
23273,AGT9VRTKHY36BLZK,3594.887875913972,5,1,2,1
23274,AGTBD27888FQ3QQ2,3594.887875913972,3,1,2,3
23275,AGTD9MCH26FB7RVA,3454.578643139641,1,1,1,5
23276,AGTFE9XOZIO9QE0U,7189.775751827944,3,4,4,3
23277,AGTGACAUQCI6QHRG,3594.887875913972,3,1,2,3
23278,AGTGVX75BDN4D9NU,3544.3271767810024,2,1,1,4
23279,AGTHG4ZLM3S1AKD6,3594.887875913972,3,1,2,3
23280,AGTIYFIEYX2KWVG2,10632.981530343008,2,5,5,4
23281,AGTKC1OZ64V1P3JZ,3454.578643139641,1,1,1,5
23282,AGTLQ119AM2Z31ZE,3594.887875913972,3,1,2,3
23283,AGTMUOI8JKSDZLSI,3594.887875913972,5,1,2,1
23284,AGTN4BX091X3XVLI,3594.887875913972,4,1,2,2
23285,AGTP9748IPYS9Y5B,3594.887875913972,3,1,2,3
23286,AGTPGOQ18RJ0DGY1,3594.887875913972,2,1,2,4
23287,AGTPW3TS00O2DX89,3594.887875913972,2,1,2,4
23288,AGTSPMF1RZ9PVX2U,3594.887875913972,5,1,2,1
23289,AGTTIJ2A6DTGQIHN,7189.775751827944,3,4,4,3
23290,AGTV26FESMJE5YWV,3594.887875913972,4,1,2,2
23291,AGTVWKBSZUM8NL0K,3544.3271767810024,2,1,1,4
23292,AGTYGZSW1GN8OY4T,10419.166464744365,1,5,5,5
23293,AGTZM9F69A42PLKL,3594.887875913972,3,1,2,3
23294,AGU27A72MJAM97UC,3473.055488248122,1,1,1,5
23295,AGU2E5318RJYB1YN,3544.3271767810024,2,1,1,4
23296,AGU3YJ2QMFL390S3,3454.578643139641,1,1,1,5
23297,AGU40M9AOW5QYIBF,3594.887875913972,5,1,2,1
23298,AGU4HJHXJNNGF4SY,7189.775751827944,3,4,4,3
23299,AGU5ZW8OI11AR837,3594.887875913972,4,1,2,2
23300,AGU7L5DG91WX5K8H,3454.578643139641,1,1,1,5
23301,AGU7WRS69RYS1TD1,3594.887875913972,4,1,2,2
23302,AGU8MQ4LJWOYB08E,7189.775751827944,5,4,4,1
23303,AGU9MIH9V80VSZ2C,3594.887875913972,2,1,2,4
23304,AGUAFTF3XT8NXQ0T,3544.3271767810024,2,1,1,4
23305,AGUBKJ118OBH21BG,6909.157286279282,1,4,4,5
23306,AGUBN6Z23VVRXRL6,3594.887875913972,3,1,2,3
23307,AGUCYI7OAYTTV9PT,3544.3271767810024,2,1,1,4
23308,AGUDNVVUBKB9TLJG,3594.887875913972,5,1,2,1
23309,AGUE9K5ZLIZ7LO9Q,3594.887875913972,5,1,2,1
